"district","first","last","id","affiliation","user_id","screen_name","chamber"
"PA-05","Glenn","Thompson","4205","1","18967498","CongressmanGT","0"
"CA-36","Raul","Ruiz","636","2","1089859058","CongressmanRuiz","0"
"WY-AL","Cynthia","Lummis","5600","1","22831059","CynthiaLummis","0"
"MT-AL","Steve","Daines","3000","1","214767677","Dainesfor0","0"
"CA-48","Dana","Rohrabacher","648","1","19139963","DanaRohrabacher","0"
"MI-05","Dan","Kildee","2605","2","18674498","dankildee","0"
"NY-24","Dan","Maffei","3624","2","319628378","DanMaffeiNY","0"
"CA-49","Darrell","Issa","649","1","22509548","DarrellIssa","0"
"OH-14","Dave","Joyce","3914","1","727242919","DaveJoyceOH14","0"
"WA-08","Dave","Reichert","5308","1","16102244","davereichert","0"
"RI-01","David","Cicilline","4401","2","23593446","davidcicilline","0"
"WA-10","Denny","Heck","5310","2","64248024","DennyHeck","0"
"PA-15","Charlie","Dent","4215","1","242376736","DentPressShop","0"
"TN-04","Scott","DesJarlais","4704","1","235312723","DesJarlaisTN04","0"
"CA-22","Devin","Nunes","622","1","54412900","DevinNunes","0"
"CA-21","David","Valadao","621","1","36676406","dgvaladao","0"
"NV-01","Dina","Titus","3201","2","17907578","dinatitus","0"
"WA-04","Doc","Hastings","5304","1","402029058","DocHastings","0"
"NJ-10","Donald","Payne","3410","2","571909015","DonaldPayneJr","0"
"CA-06","Doris","Matsui","606","2","38254095","DorisMatsui","0"
"CA-01","Doug","LaMalfa","601","1","19808819","DougLaMalfa","0"
"TN-01","Phil","Roe","4701","1","52503751","DrPhilRoe","0"
"FL-23","Debbie","Wasserman Schultz","1223","2","115979444","DWStweets","0"
"MD-07","Elijah","Cummings","2407","2","787373558","ElijahECummings","0"
"VA-07","Eric","Cantor","5107","1","5561412","EricCantor","0"
"TX-27","Blake","Farenthold","4827","1","17896154","farenthold","0"
"TX-34","Filemon","Vela","4834","2","790194992","FilemonVela","0"
"OK-03","Frank","Lucas","4003","1","389017497","FrankDLucas","0"
"NJ-06","Frank","Pallone","3406","2","31801993","FrankPallone","0"
"VA-11","Gerry","Connolly","5111","2","78445977","GerryConnolly","0"
"NC-01","G.K.","Butterfield","3701","2","432676344","GKButterfield","0"
"CA-32","Grace","Napolitano","632","2","161411080","gracenapolitano","0"
"MS-03","Gregg","Harper","2803","1","23712174","GreggHarper","0"
"NY-05","Gregory","Meeks","3605","2","22812754","GregoryMeeks","0"
"WA-03","Jaime","Herrera Beutler","5303","1","242926427","HerreraBeutler","0"
"NC-06","Howard","Coble","3702","1","314335929","HowardCoble","0"
"IN-02","Jackie","Walorski","1802","1","14562874","jackiewalorski","0"
"GA-01","Jack","Kingston","1301","1","36654245","JackKingston","0"
"TX-18","Shelia","Jackson Lee","4818","2","80612021","JacksonLeeTX18","0"
"CT-04","Jim","Himes","904","2","31611298","jahimes","0"
"IL-09","Jan","Schakowsky","1709","2","24195214","janschakowsky","0"
"CO-02","Jared","Polis","802","2","15361570","jaredpolis","0"
"UT-03","Jason","Chaffetz","4903","1","17800215","jasoninthe0","0"
"NE-01","Jeff","Fortenberry","3101","1","18805303","JeffFortenberry","0"
"OH-04","Jim","Jordan","3904","1","18166778","Jim_Jordan","0"
"VA-08","Jim","Moran","5108","2","47412499","Jim_Moran","0"
"PA-06","Jim","Gerlach","4206","1","40954486","JimGerlach","0"
"RI-02","Jim","Langevin","4402","2","18909919","jimlangevin","0"
"FL-26","Joe","Garcia","1226","2","11527072","JoeGarcia","0"
"MI-12","John","Dingell","2612","2","109025212","john_dingell","0"
"DE-AL","John","Carney","1000","2","237770636","JohnCarneyDE","0"
"MD-06","John","Delaney","2406","2","937723303","RepJohnDelaney","0"
"MD-03","John","Sarbanes","2403","2","259364314","JohnSarbanes","0"
"OH-03","Joyce","Beatty","3903","2","582070020","JoyceBeatty","0"
"TX-31","John","Carter","4831","1","18030431","JudgeCarter","0"
"TX-02","Ted","Poe","4802","1","74198348","JudgeTedPoe","0"
"CA-26","Julia","Brownley","626","2","44251742","JuliaBrownley","0"
"MN-05","Keith","Ellison","2705","2","14135426","keithellison","0"
"CA-42","Ken","Calvert","642","1","22545491","KenCalvert","0"
"ND-AL","Kevin","Cramer","3800","1","28267055","kevincramer","0"
"CA-23","Kevin","McCarthy","623","1","15428227","kevinomccarthy","0"
"PA-12","Keith","Rothfus","4212","1","86936187","KRPA12","0"
"AZ-09","Kyrsten","Sinema","409","2","20747881","kyrstensinema","0"
"MO-01","Lacy","Clay","2901","2","584912320","LacyClayMO1","0"
"TX-21","Lamar","Smith","4821","1","15856366","LamarSmithTX21","0"
"WA-02","Rick","Larsen","5302","2","158520264","larsenrick","0"
"NE-02","Lee","Terry","3102","1","18317325","LEETERRYNE","0"
"CA-46","Loretta","Sanchez","646","2","108376246","LorettaSanchez","0"
"NY-25","Louise","Slaughter","3625","2","63169388","louiseslaughter","0"
"IL-04","Luis","Gutierrez","1704","2","36948268","LuisGutierrez","0"
"IN-06","Luke","Messer","1806","1","23013996","Luke_Messer","0"
